0,00:00:00,0,0,0,0,0,0,2,0
1,00:13:20,30,45,40,20,1,0,5,800
2,00:18:01,51.3773483456,77.0660225184,68.5031311275,34.2515655637,0,0,9,1080.7594370046
3,00:24:40,87.9877307676,131.9815961514,117.3169743568,58.6584871784,0,0,19,1479.9493184874
4,00:34:15,150.6858764595,226.0288146893,200.9145019461,100.457250973,0,0,30,2055.4548947148
5,00:48:17,258.0613588542,387.0920382814,344.0818118057,172.0409059028,1,0,42,2897.2689277541
6,01:09:07,441.9502776133,662.9254164199,589.2670368177,294.6335184089,1,1,55,4147.4227459811
7,01:40:34,756.8744454794,1135.3116682191,1009.1659273058,504.5829636529,1,1,70,6033.6251995393
8,02:28:47,1296.2067346431,1944.3101019646,1728.2756461908,864.1378230954,1,1,90,8926.9757229403
9,03:44:03,2219.8554977899,3329.7832466848,2959.8073303865,1479.9036651932,1,1,133,13442.6858547021
10,05:43:39,3801.6763062297,5702.5144593445,5068.9017416396,2534.4508708198,2,1,200,20619.0153457733
11,08:57:21,6510.6682627484,9766.0023941226,8680.8910169979,4340.445508499,2,2,300,32241.1094814697
12,14:17:19,11150.0290432667,16725.0435649001,14866.7053910223,7433.3526955111,2,2,420,51438.5156033996
13,23:16:50,19095.2975406566,28642.9463109849,25460.3967208755,12730.1983604377,2,2,550,83810.1092146766
14,38:46:27,32702.1917836528,49053.2876754792,43602.9223782037,21801.4611891019,2,2,700,139586.926519887
15,66:04:43,56005.0632978005,84007.5949467008,74673.4177304007,37336.7088652004,3,2,900,237882.644817925
16,115:20:40,95913.0548723207,143869.582308481,127884.073163094,63942.0365815471,3,3,1330,415239.9045487
17,206:27:09,164258.614368928,246387.921553391,219011.485825237,109505.742912618,3,3,2000,743228.818993313
18,379:19:59,281305.734973377,421958.602460066,375074.313297836,187537.156648918,3,3,3000,1365598.57716527
19,716:19:30,481758.091244933,722637.1368674,642344.12165991,321172.060829955,3,3,4200,2578769.90433197
20,1391:57:00,825048.44240707,1237572.66361061,1100064.58987609,550032.294938047,4,3,5500,5011020.27344457
21,2786:53:36,1412960.04091865,2119440.06137798,1883946.72122487,941973.360612435,4,4,7000,10032815.7587055
22,5756:50:34,2419804.67402399,3629707.01103599,3226406.23203199,1613203.11601599,4,4,9000,20724633.7647793
23,12286:26:45,4144104.9221897,6216157.38328456,5525473.22958627,2762736.61479313,4,4,13300,44231205.2506797
24,27132:08:28,7097104.07227135,10645656.108407,9462805.42969514,4731402.71484757,4,4,20000,97675708.1118108
25,62090:24:03,12154346.2722069,18231519.4083103,16205795.0296092,8102897.51480459,4,4,30000,223525442.837288
