0,00:00:00,0,0,0,0,0,0,2,0
1,00:15:50,55,60,75,40,2,0,5,950
2,00:21:33,94.1918053003,102.7546966912,128.4433708641,68.5031311275,1,0,9,1293.3651884637
3,00:29:45,161.3108397406,175.9754615351,219.9693269189,117.3169743568,1,0,19,1785.4538127342
4,00:41:41,276.2574401758,301.3717529191,376.7146911489,200.9145019461,1,0,30,2500.7904832297
5,00:59:16,473.1124912328,516.1227177085,645.1533971356,344.0818118057,2,0,42,3556.2377424546
6,01:25:38,810.2421756243,883.9005552266,1104.8756940332,589.2670368177,2,1,55,5137.8967464395
7,02:05:47,1387.6031500455,1513.7488909587,1892.1861136984,1009.1659273058,2,1,70,7546.9368151618
8,03:07:59,2376.3790135123,2592.4134692861,3240.5168366077,1728.2756461908,2,1,90,11278.9947917384
9,04:46:04,4069.7350792814,4439.7109955797,5549.6387444746,2959.8073303865,2,1,133,17164.1603823916
10,07:23:38,6969.7398947544,7603.3526124593,9504.1907655742,5068.9017416396,3,1,200,26618.3161729996
11,11:41:43,11936.2251483721,13021.3365254969,16276.6706568711,8680.8910169979,3,2,300,42103.0643043988
12,18:53:04,20441.7199126556,22300.0580865334,27875.0726081668,14866.7053910223,3,2,420,67984.1735052859
13,31:09:27,35008.0454912038,38190.5950813132,47738.2438516415,25460.3967208755,3,2,550,112167.276266548
14,52:34:42,59954.0182700301,65404.3835673056,81755.479459132,43602.9223782037,3,2,700,189282.364269098
15,90:50:24,102675.949379301,112010.126595601,140012.658244501,74673.4177304007,4,2,900,327024.36330997
16,160:51:17,175840.600599254,191826.109744641,239782.637180802,127884.073163094,4,3,1330,579076.863850102
17,292:15:06,301140.7930097,328517.228737855,410646.535922319,219011.485825237,4,3,2000,1052105.62689235
18,545:26:35,515727.180784525,562611.469946755,703264.337433443,375074.313297836,4,3,3000,1963595.43493185
19,1046:58:35,883223.167282377,963516.182489866,1204395.22811233,642344.12165991,4,3,4200,3769114.70410702
20,2069:30:38,1512588.81107963,1650096.88481414,2062621.10601768,1100064.58987609,5,3,5500,7450237.63447596
21,4218:05:04,2590426.7416842,2825920.08183731,3532400.10229663,1883946.72122487,5,4,7000,15185104.3600196
22,8877:15:46,4436308.56904398,4839609.34804798,6049511.68505998,3226406.23203199,5,4,9000,31958146.3403413
23,19319:01:38,7597525.69068112,8288209.84437941,10360262.3054743,5525473.22958627,5,4,13300,69548497.5265226
24,43539:58:39,13011357.4658308,14194208.1445427,17742760.1806784,9462805.42969514,5,4,20000,156743919.02374
25,101782:11:16,22282968.1657126,24308692.5444138,30385865.6805172,16205795.0296092,5,4,30000,366415876.188999
