1,0.0083333333,30,20,20,10,5,1,100,720
2,0.0091976894,47.0493655647,31.3662437098,31.3662437098,15.6831218549,2,1,200,794.680367373
3,0.0101667379,73.7880933347,49.1920622231,49.1920622231,24.5960311116,2,1,300,878.4061568483
4,0.0112547813,115.7227659209,77.1485106139,77.1485106139,38.574255307,2,1,500,972.4131018651
5,0.0124782827,181.4894239324,120.9929492883,120.9929492883,60.4964746441,3,1,700,1078.1236271307
6,0.0138562225,284.6320750908,189.7547167272,189.7547167272,94.8773583636,3,2,1000,1197.1776272429
7,0.0154105177,446.3919517462,297.5946344975,297.5946344975,148.7973172487,3,2,1200,1331.4687291642
8,0.0171665172,700.0819374283,466.7212916189,466.7212916189,233.3606458094,3,2,1400,1483.1870866358
9,0.0191535876,1097.9470333103,731.9646888736,731.9646888736,365.9823444368,3,2,1700,1654.8699682274
10,0.0214058063,1721.9237113634,1147.9491409089,1147.9491409089,573.9745704545,4,2,2000,1849.4616605217
