1,0.0173611111,200,200,200,80,3,1,1200,1500
2,0.0200955243,256.8050833375,256.8050833375,256.8050833375,102.722033335,1,1,1700,1736.2533002039
3,0.0233287572,329.74425414,329.74425414,329.74425414,131.897701656,1,1,2400,2015.6046236351
4,0.0271631236,423.4000033225,423.4000033225,423.4000033225,169.360001329,1,1,3100,2346.8938820719
5,0.0317241197,543.6563656918,543.6563656918,543.6563656918,217.4625462767,2,1,3900,2740.9639392339
6,0.037166156,698.0685914924,698.0685914924,698.0685914924,279.2274365969,2,2,4800,3211.155881354
7,0.0436798234,896.3378140676,896.3378140676,896.3378140676,358.535125627,2,2,5800,3773.9367400173
8,0.0515011309,1150.9205352012,1150.9205352012,1150.9205352012,460.3682140805,2,2,6900,4449.697712204
9,0.0609232939,1477.8112197861,1477.8112197861,1477.8112197861,591.1244879145,2,2,8000,5263.7725941439
10,0.0723118244,1897.5471672717,1897.5471672717,1897.5471672717,759.0188669087,3,2,9000,6247.7416242339
11,0.0861239182,2436.4987921407,2436.4987921407,2436.4987921407,974.5995168563,3,3,11000,7441.1065310127
12,0.1029334502,3128.5263768376,3128.5263768376,3128.5263768376,1251.4105507351,3,3,13000,8893.4500997836
13,0.1234633156,4017.1073846375,4017.1073846375,4017.1073846375,1606.842953855,3,3,15000,10667.230464404
14,0.1486274303,5158.0679834386,5158.0679834386,5158.0679834386,2063.2271933755,3,3,17000,12841.409979593
15,0.1795854815,6623.0903917385,6623.0903917385,6623.0903917385,2649.2361566954,4,3,27000,15516.1856004646
16,0.2178145678,8504.2164000126,8504.2164000126,8504.2164000126,3401.686560005,4,4,38000,18819.1786572654
17,0.2652033074,10919.6300066288,10919.6300066288,10919.6300066288,4367.8520026515,4,4,50000,22913.5657636785
18,0.324175948,14021.0824693376,14021.0824693376,14021.0824693376,5608.432987735,4,4,65000,28008.8019099784
19,0.3978567038,18003.4262601043,18003.4262601043,18003.4262601043,7201.3705040417,4,4,80000,34374.8192082963
20,0.4902882538,23116.8569054375,23116.8569054375,23116.8569054375,9246.742762175,5,4,100000,42360.9051308653
